epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5843,1.31828,2.11176,1.4755,0.68595,0.48215,0.52958,0.22064,2.00125,1.77015,1.98106,0.00023727,0.00023727,0.00023727
2,122.946,1.24858,1.5678,1.4197,0.75323,0.51037,0.58526,0.25939,1.89962,1.71809,1.93158,0.000472133,0.000472133,0.000472133
3,183.067,1.2337,1.48523,1.41446,0.67166,0.54351,0.58434,0.25232,1.94687,1.52638,2.01913,0.000703855,0.000703855,0.000703855
4,243.21,1.21423,1.413,1.39482,0.74891,0.56014,0.62379,0.3012,1.80237,1.44411,1.92794,0.000699863,0.000699863,0.000699863
5,304.29,1.19237,1.37014,1.3837,0.6677,0.57721,0.60568,0.29106,1.80999,1.45204,1.86614,0.00069515,0.00069515,0.00069515
6,364.873,1.1644,1.2801,1.35377,0.74784,0.57463,0.64319,0.31609,1.72054,1.30901,1.83574,0.000690438,0.000690438,0.000690438
7,424.665,1.1517,1.24035,1.34692,0.81539,0.58685,0.67737,0.33526,1.75676,1.25459,1.82475,0.000685726,0.000685726,0.000685726
8,484.778,1.12415,1.19015,1.32354,0.75379,0.57758,0.65506,0.30317,1.82931,1.35093,1.95385,0.000681013,0.000681013,0.000681013
9,544.411,1.11987,1.16097,1.31694,0.79584,0.61157,0.68603,0.33195,1.73471,1.28526,1.81621,0.000676301,0.000676301,0.000676301
10,603.97,1.08852,1.10445,1.29515,0.81909,0.61134,0.69515,0.34269,1.69367,1.22665,1.80471,0.000671588,0.000671588,0.000671588
11,663.752,1.08836,1.08639,1.29486,0.76748,0.65893,0.71986,0.38355,1.58722,1.14264,1.72637,0.000666876,0.000666876,0.000666876
12,724.26,1.05718,1.04786,1.26907,0.82055,0.64255,0.7288,0.37585,1.63452,1.09618,1.73969,0.000662164,0.000662164,0.000662164
13,783.899,1.04349,1.02524,1.26225,0.83045,0.66727,0.72777,0.3773,1.68387,1.20444,1.83347,0.000657451,0.000657451,0.000657451
14,843.476,1.04883,1.01761,1.26298,0.80784,0.63228,0.72023,0.37719,1.62753,1.07802,1.76546,0.000652739,0.000652739,0.000652739
15,903.733,1.02404,0.99819,1.25073,0.75455,0.71425,0.76041,0.40763,1.56841,1.01474,1.69111,0.000648026,0.000648026,0.000648026
16,965.067,1.00442,0.95436,1.23677,0.85782,0.66848,0.76159,0.42676,1.52547,1.04476,1.66698,0.000643314,0.000643314,0.000643314
17,1024.46,1.00822,0.94476,1.23316,0.86074,0.69559,0.76062,0.40493,1.60662,1.02783,1.72309,0.000638602,0.000638602,0.000638602
18,1083.66,0.99353,0.9252,1.22598,0.83914,0.68049,0.75403,0.40348,1.6314,1.07199,1.75259,0.000633889,0.000633889,0.000633889
19,1142.89,0.9849,0.91488,1.22041,0.80829,0.70749,0.76269,0.41924,1.57261,1.04317,1.70149,0.000629177,0.000629177,0.000629177
20,1201.99,0.9813,0.89617,1.21056,0.82925,0.71746,0.79247,0.45106,1.46372,0.90492,1.59768,0.000624464,0.000624464,0.000624464
21,1261.41,0.96216,0.86815,1.19912,0.87008,0.70806,0.78612,0.43275,1.51204,0.96081,1.69413,0.000619752,0.000619752,0.000619752
22,1321.14,0.95246,0.8536,1.19661,0.8782,0.70144,0.78567,0.44321,1.50399,0.90953,1.61667,0.00061504,0.00061504,0.00061504
23,1380.55,0.94298,0.83981,1.18872,0.85408,0.67956,0.77149,0.41946,1.59464,1.00162,1.6963,0.000610327,0.000610327,0.000610327
24,1440.15,0.942,0.83764,1.18574,0.84026,0.71663,0.78294,0.43972,1.49635,0.92768,1.66911,0.000605615,0.000605615,0.000605615
